midtest,finaltest,attendance,avggrade,percentgrade,counselnum,extralecture,scalarship,scolarregister
27,38,30,4.5,100,1,4,251000,1
29,39,30,4.5,99,2,1,3325000,2
29,39,29,4.5,99,2,1,3325000,2
30,40,30,4.5,99,1,2,3921000,2
29,39,30,4.5,99,1,3,958960,2
29,39,30,4.5,99,1,5,251000,1
26,35,30,4.5,99,2,4,251460,1
29,38,29,4.5,98,1,1,958960,2
29,37,29,4.5,98,4,2,958960,2
29,37,30,4.4,98,2,2,2561460,2
29,37,30,4.5,98,2,1,1662460,2
29,38,30,4.5,98,2,5,2916460,2
29,38,30,4.5,98,1,3,2771460,2
29,39,30,4.5,98,2,3,2741460,1
29,36,30,4.4,98,1,2,251460,1
27,37,30,4.5,98,1,4,2617460,1
29,38,30,4.5,98,1,4,251460,1
29,38,30,4.4,97,3,2,501460,2
28,39,30,4.4,97,1,1,251460,2
29,38,30,4.4,97,7,3,2287460,2
28,37,30,4.4,97,1,3,1960460,2
29,37,30,4.4,97,1,2,251460,2
30,37,29,4.5,97,1,1,2561460,2
29,39,29,4.4,97,4,3,251460,2
29,39,29,4.5,97,1,2,3921000,2
29,39,30,4.5,97,1,4,2771460,2
29,39,29,4.5,97,2,5,3325000,2
29,38,30,4.4,97,2,2,1130460,2
28,39,30,4.4,97,2,1,2851460,2
28,39,30,4.4,97,2,3,2916460,2
29,37,30,4.4,97,2,3,1662460,2
29,37,30,4.4,97,2,1,2771460,2
29,39,30,4.5,97,0,3,501460,2
29,39,30,4.5,97,1,2,3921000,2
29,37,30,4.3,97,1,1,251460,2
29,39,30,4.5,97,1,0,1440000,1
28,38,30,4.5,97,1,0,879000,1
29,37,30,4.4,97,0,0,0,1
28,39,29,4.4,97,2,0,3427000,1
29,38,30,4.5,97,0,0,0,1
28,38,30,4.3,97,2,6,851000,1
28,37,30,4.4,97,2,8,251000,1
27,36,30,4.4,97,1,7,251000,1
29,38,29,4.3,97,2,5,251460,1
27,37,30,4.5,97,1,9,2771460,1
28,37,30,4.3,97,1,2,251460,1
29,38,30,4.3,96,3,4,1130460,2
28,38,30,4.3,96,1,1,2561460,2
28,38,30,4.4,96,1,4,3738000,2
29,37,28,4.3,96,2,2,1130460,2
25,34,25,4.5,96,1,2,3325000,2
28,37,29,4.5,96,1,4,551460,2
29,38,29,4.4,96,1,2,3921000,2
28,38,29,4.4,96,4,7,3325000,2
28,39,30,4.4,96,2,2,1327460,2
29,38,30,4.3,96,2,2,251460,2
28,39,29,4.5,96,3,4,2771460,2
28,37,30,4.4,96,2,1,3325000,2
29,37,28,4.4,96,1,1,3325000,2
29,38,30,4.4,96,1,2,251460,2
29,38,30,4.4,96,1,2,2771460,2
29,37,30,4.5,96,1,2,958960,2
29,37,30,4.3,96,1,1,2287460,2
29,38,28,4.5,96,1,1,3325000,2
27,38,30,4.5,96,1,1,251460,2
29,37,30,4.3,96,2,1,3071460,2
29,37,30,4.4,96,1,2,251460,2
28,39,30,4.3,96,1,4,3921000,2
29,38,30,4.3,96,1,1,2771460,1
29,38,29,4.3,96,4,0,2650000,1
28,38,30,4.4,96,1,0,3427000,1
29,39,28,4.3,96,1,0,3427000,1
26,35,27,4.5,96,1,0,0,1
26,38,30,4.4,96,1,1,1130460,1
29,38,30,4.3,96,1,1,2771460,1
28,38,30,4.4,96,2,0,0,1
28,38,30,4.3,96,1,0,0,1
28,38,30,4.4,96,1,0,3427000,1
28,37,30,4.5,96,1,3,1451000,1
28,37,30,4.3,96,2,5,2511460,1
27,36,30,4.4,96,1,5,2059600,1
27,34,30,4.3,96,1,4,858960,1
29,36,30,4.2,96,1,4,251460,1
27,36,30,4.3,96,2,5,2451460,1
29,37,30,4.3,96,2,3,3717000,1
28,36,30,4.2,96,2,2,3717000,1
29,36,29,4.4,96,1,2,3223000,1
28,36,30,4.4,96,1,3,251460,1
28,36,30,4.3,96,1,5,1090800,1
28,36,30,4.2,96,1,3,1909500,1
27,34,29,4.2,96,2,2,1611500,1
28,38,29,4.3,95,3,6,1662460,2
29,37,29,4.3,95,1,1,251460,2
28,36,30,4.3,95,1,1,251460,2
28,37,30,4.3,95,4,1,1662460,2
29,37,30,4.4,95,3,2,2771460,2
28,38,29,4.3,95,2,4,3021460,2
29,38,30,4.3,95,3,2,251460,2
29,37,30,4.2,95,2,3,2771460,2
29,38,29,4.3,95,7,5,879000,2
28,35,30,4.3,95,8,5,3325000,2
29,37,30,4.2,95,1,3,551460,2
28,37,30,4.3,95,3,2,3921000,2
28,36,30,4.4,95,1,1,2921460,2
28,35,29,4.4,95,1,3,1960460,2
27,36,29,4.4,95,1,2,2034960,2
27,35,30,4.2,95,1,3,2561460,2
27,35,29,4.3,95,1,1,3921000,2
28,37,27,4.3,95,1,1,500000,2
28,37,26,4.4,95,1,6,2871460,2
28,37,30,4.2,95,1,3,0,2
29,38,29,4.3,95,1,2,251460,2
28,38,29,4.3,95,1,2,1960460,2
27,36,30,4.2,95,2,3,3325000,2
